,AU200,AUD,BCO,CAD,CHF,CN50,CNH,CORN,CZK,DE10YB,DE30,DKK,EU50,EUR,FR40,GBP,HK33,HKD,HUF,IN50,INR,JP225,JPY,MXN,NAS100,NATGAS,NL25,NOK,NZD,PLN,SAR,SEK,SG30,SGD,SOYBN,SPX500,SUGAR,THB,TRY,TWIX,UK100,UK10YB,US2000,US30,USB02Y,USB05Y,USB10Y,USB30Y,USD,WHEAT,WTICO,XAG,XAU,XCU,XPD,XPT,ZAR
2018-11-28,46384.35107591606,8.050705861885733,655.4862925320438,8.28237363969586,11.048050878992761,120637.24213478446,1.5860055856342947,39.391438244596294,0.48273334206685925,2023.6522794670495,142041.9311975667,1.6795719211529065,39887.99822023381,12.533147464503035,62866.272567301196,14.069138747458073,37338.52217115396,1.4063928298465367,0.03872368679949703,120185.13710494562,0.15805000618553722,245398.4301500211,0.09693788490346754,0.5434612156058193,75901.94443773777,50.237558911776404,6522.877104795038,1.2890514706182816,7.544270810050785,2.923932910510565,2.931958627993818,1.2132387622513325,2812.9542667022274,8.027064528992419,96.6690754798973,30146.93539601804,1.3503750234310643,0.33417754900225427,2.129710068233637,4039.2449381222455,99294.05256209387,1737.9026917549763,16777.969661235755,279056.604609897,1160.7659139582618,1243.266831812066,1314.4816241034696,1543.0971675375506,11.000122380507209,53.97760052114886,563.0632642910223,157.4518936364457,13468.937213270825,30.422818465321168,13010.394745544896,9016.140307958925,0.804865391316097
2018-11-27,46376.20587080507,8.061395621533183,650.1845739731858,8.311526124646939,11.10175800841376,122606.80139817129,1.5897302445860417,39.5338525386652,0.48356758391954696,2020.0389214081667,143132.17981155476,1.6805824947318373,40139.91787334065,12.541372668677637,63124.491855241366,14.148228410787116,37480.47289356915,1.4099825354392852,0.03874257417870349,119667.41587869033,0.15697661693125836,247517.44550080065,0.09705651707378503,0.5436068428685064,76236.45010623873,51.196504543512845,6581.71246014159,1.2892461874476655,7.583051146832377,2.925926580826735,2.9409945964446034,1.2207964625713006,2833.199953451242,8.037620292698458,97.14095387954465,30230.21188541305,1.3496457835695024,0.33535132902198095,2.1134797375826215,4087.996752881791,100165.88589161901,1745.938687600268,16829.27304537172,279489.88326281303,1164.367399023238,1246.7121217405302,1316.6770000401887,1543.0449929743936,11.033729427481218,54.44042099519233,554.0476894715418,158.09113645119442,13473.316798949343,30.66692689615275,13091.519965706466,9096.75822648689,0.8009043066246077
2018-11-26,45984.26658187635,8.020858592970912,675.7022660813029,8.348564124384326,11.114111906743725,120833.57975808675,1.5963895876325531,39.26397534261396,0.48349920805747465,2021.6768354027884,142070.01227107455,1.6802702749648228,39775.09009276484,12.537063934979516,62591.29335186549,14.149579666821154,37403.6116120122,1.4184770204942037,0.038712364046121085,119001.92696432615,0.1568126742494331,245956.5573313802,0.09756240609531941,0.5420728711151811,74518.29620579559,46.52398096151967,6524.601671035472,1.2907900320401189,7.537445872180481,2.9201832957746663,2.958645326074583,1.2191797929243267,2808.3607268665933,8.058163270839469,96.20062491351216,29799.32581558182,1.3074670669643966,0.33597427507616656,2.1049640482490433,4002.993923818658,99719.54229845763,1746.4822311707221,16586.82604843887,274886.68063937745,1170.958979662128,1253.2945479731736,1323.8520337740372,1554.6180839358294,11.100926022791619,54.8274736265678,577.6033828178935,157.02343950278015,13492.863447946947,30.039771873235484,12800.477796881012,9259.781937281514,0.7969738079801942
2018-11-22,45285.20408248854,7.978877528605566,652.7441648687027,8.332642173564626,11.062467137678333,120287.3430181733,1.5884254684442585,39.239002119923185,0.4823852723895036,2017.550840698043,139818.19659531495,1.6760285420261614,39149.49522040793,12.505414049002301,61795.57612970223,14.138168812811006,36451.19079646535,1.4094603784164972,0.03879682292651484,116218.93031594456,0.15664386862870466,237330.32547309969,0.09766321173703797,0.540414559357385,71962.80754262213,47.65602731461012,6417.410867647332,1.2831655208910255,7.482710427828945,2.912958810175642,2.940216849543541,1.21331778967172,2743.054373509629,8.022594040093786,95.9518809218701,28988.543652160293,1.310099491639606,0.333569828680956,2.0867746264719513,3920.5907656510262,98312.89115753506,1744.5596946107219,16381.25194095823,267480.4847910536,1164.1308450130039,1246.4257440331405,1316.8617936636465,1546.9896607493138,11.031487804307895,54.57277016791116,554.6411438249925,157.48277730900327,13490.257170196095,30.27569764916694,12392.773399359492,9266.129842472308,0.7959597878678522
2018-11-20,45281.3902685415,7.990819094884986,698.4346501678053,8.31552191084641,11.059236293499918,122490.66403355666,1.5883869920422475,39.34347230711182,0.48177692680014944,2018.2608044859842,140828.9966556192,1.678847019504217,39433.62244224064,12.528154672367817,62208.55643567986,14.05737368226901,36708.61452381193,1.4044896003981562,0.03892724639477239,117020.42509868644,0.1550791397750369,238487.89480210844,0.09731155292298717,0.5434961093731318,72278.22743891808,48.81627142803555,6469.790094555189,1.2901621575680213,7.518471490693914,2.9114061920202507,2.932287568486559,1.2167437708273454,2738.952952215202,8.01517677082575,96.0922503160835,29129.132349079762,1.3261918769293226,0.3342880885798491,2.072769951826005,3958.551827768129,99200.66583080139,1733.6778495265646,16353.175876152623,269144.11718369025,1160.9624957469389,1242.2129272312845,1312.0211855614366,1540.6005984955964,11.002089571339992,54.26230576584884,599.2288085030326,159.5414186132592,13487.281331817241,30.536959730628432,12659.114281679509,9305.952432574362,0.7895487217873627
2018-11-19,44649.793840036116,7.947877535151573,687.3168145537232,8.28064119099589,11.072821436014644,120862.50822381454,1.5865142472153244,39.44713910740064,0.48132766470767135,2020.601156977618,138653.3772573912,1.678848710738623,38972.69218159516,12.52899510242352,61642.6559292253,14.091478453069895,36049.01890878688,1.4072243739619683,0.038968853949556896,116838.45928470205,0.15464483720617953,234230.060017223,0.09772457291366615,0.541107930367676,71813.62693256227,49.51828020912248,6388.158735494737,1.2834233599909006,7.483847969587282,2.9059967933457833,2.936713318412158,1.2117282662818405,2697.3679264493444,8.011438376199248,95.86315928334793,29041.027885884112,1.3045102790293746,0.333881399327759,2.048688709362364,3918.2689012825895,97683.32289279481,1738.5385362996599,16134.71732022635,269006.3493291971,1162.99642217006,1244.2927887439153,1314.1957637431751,1543.022226827921,11.018753940614705,54.542832006042794,586.4621597352768,157.7751910832144,13461.879572707876,30.267084636856314,12601.763225493116,9274.430098045694,0.7818580894383687
2018-11-15,46203.93676299641,8.058129802094529,736.3746780597892,8.35784667477472,10.98749466135475,124189.74657910671,1.5875218403051061,39.577749117720025,0.4827665349521984,2022.593179507497,142622.352839772,1.6814438046593547,40004.718086604014,12.546235715856634,63163.69353540987,14.09929609985144,36677.782699389994,1.4034067753423696,0.03900613586475231,118238.8001820614,0.1534468468187544,239544.27159642588,0.09738735121334355,0.544869053644996,75689.97295178406,47.90643702200426,6561.584248793661,1.302185801790099,7.5587211495605295,2.907248691932889,2.9283783732803133,1.220595347377503,2785.6577296335736,8.001323891638423,96.69189123707281,30110.733948417535,1.3200640696843096,0.3345323462719966,2.060600569084261,4008.3184003732,99325.9836392705,1736.7313900122438,16799.68869212556,279478.022677337,1159.8741739632549,1241.5019080541879,1310.9222908764411,1538.3460141520018,10.987714913303728,54.96054999634524,624.8823348344963,158.49740522710647,13429.98868495328,30.540902987273373,12927.595981247498,9288.464801961307,0.7852938099651124
2018-11-14,46395.65147153223,8.048103938917986,737.5748250271189,8.39417716742516,10.986436910753262,124233.95647675707,1.5964160748227385,40.073685813074576,0.48194401847678303,2019.8913266942359,143376.71822732268,1.679539523910522,40273.00728055068,12.532052273829922,63535.00507559615,14.128917223584274,36859.45570370457,1.4127143525680084,0.038924116710659484,118116.1657996355,0.1543612879850407,242790.3465919764,0.09734065961071044,0.5467443934581981,76019.43909911644,42.87209666339416,6614.668503491491,1.303267634656154,7.554740259264651,2.923304917443609,2.948161536290868,1.2204845467670349,2765.8284819306673,8.040680447351098,96.93783672806666,30205.139723528577,1.3239912204871724,0.33572853918096524,2.0672079972382456,4092.537607186748,100257.4009945806,1747.5277733998225,16874.074539141107,279907.4505066699,1166.317913485964,1246.6865033611502,1315.186734175495,1538.6392875278914,11.060912451856076,55.10546583514698,626.2356802867354,158.09659786944158,13418.473452482134,30.237326978763473,12798.139361544594,9313.84133008541,0.780200166709264
2018-11-13,46158.461882261814,8.024227260634799,730.9896405002726,8.37759839142279,11.025733401617375,122452.52487696786,1.5977136209340477,40.1507331983136,0.4821927802137485,2018.1278391701942,143153.89324369896,1.6814476144289159,40198.43034162946,12.547891871191762,63602.76055551612,14.409621793624318,36538.95008426604,1.4166618482297009,0.03890897093412043,118044.70882289493,0.15415564369310075,241124.06885479635,0.09763696407254412,0.5435841521461913,75093.74211829384,51.61127682745367,6594.5452197663135,1.3038706567833152,7.543037010852968,2.9204760579666615,2.9570788366576144,1.221116111978049,2757.2116951860276,8.044449144377028,96.56589714233812,29943.85987904073,1.3315531910642715,0.33660277672781463,2.0304404908019738,4056.1227016588705,101301.74856687023,1764.977405398484,16635.450590866465,278048.5425300181,1169.6078325409821,1249.532088401897,1317.8071953658157,1542.7023356429684,11.094427520948772,55.0283605039059,621.9979845344717,156.8443250821558,13436.768985138164,29.94197382636217,12516.844073409613,9261.905455176056,0.770743595505856
2018-11-12,46839.51854841922,8.025734813342309,725.3566752245365,8.399123595068072,11.040913832684573,124639.75488621743,1.6006608153959379,40.138226149798825,0.48389404607942543,2020.519385204634,143374.12333131695,1.6823202341655703,40254.221510743446,12.553552610369838,63661.57553960026,14.425952474677864,36858.461144463356,1.4199132862575718,0.03887997283723311,118010.83232928942,0.1540957147512313,242750.6548153263,0.097697055494543,0.542513662214137,76088.06731604386,44.96370818553642,6585.279813197233,1.3083950281830035,7.518998992902273,2.9243994397094664,2.964151766890785,1.2277576384136069,2759.9341601746223,8.06201533090874,96.26503102630423,30313.811571969956,1.3295648429343336,0.3373777825634282,2.0295497366653996,4040.5073082650683,101610.03594827083,1764.2690934234727,16872.809394577776,281495.71760319447,1171.6581704192527,1250.8116418764318,1318.79089802044,1544.7546570349448,11.118622202160344,55.50416203318443,614.5818422244129,155.58514109825697,13364.79111274245,29.691391101093025,12373.303124563125,9327.300979170288,0.7691521510168099
