'XAU_AUD'
'XAU_CAD'
'XAU_CHF'
'XAU_EUR'
'XAU_GBP'
'XAU_HKD'
'XAU_JPY'
'XAU_NZD'
'XAU_SGD'
'XAU_USD'
'XAU_XAG'
'XAG_USD'
'XAG_AUD'
'XAG_CAD'
'XAG_CHF'
'XAG_EUR'
'XAG_GBP'
'XAG_HKD'
'XAG_JPY'
'XAG_NZD'
'XAG_SGD'
'AUD_USD'
'EUR_USD'
'GBP_USD'
'NZD_USD'
'USD_CAD'
'USD_CHF'
'USD_HKD'
'USD_JPY'
'USD_SGD'
'AUD_CAD'
'AUD_CHF'
'AUD_HKD'
'AUD_JPY'
'AUD_NZD'
'AUD_SGD'
'CAD_CHF'
'CAD_HKD'
'CAD_JPY'
'CAD_SGD'
'CHF_HKD'
'CHF_JPY'
'EUR_AUD'
'EUR_CAD'
'EUR_CHF'
'EUR_GBP'
'EUR_HKD'
'EUR_JPY'
'EUR_NZD'
'EUR_SGD'
'GBP_AUD'
'GBP_CAD'
'GBP_CHF'
'GBP_HKD'
'GBP_JPY'
'GBP_NZD'
'GBP_SGD'
'HKD_JPY'
'NZD_CAD'
'NZD_CHF'
'NZD_HKD'
'NZD_JPY'
'NZD_SGD'
'SGD_CHF'
'SGD_HKD'
'SGD_JPY'
